title,rating,price,promotion,review_num,Brand,Manufacturer,Description_comb,Primary Supplement Type_comb,Age Range_comb,Flavor_comb,Unit Count_comb,Benefit_comb,Ingredient_comb,Directions_updt,Diet Type_comb,Item_Form_updt,popularity_score,popular
"Nature Made Vitamin D3 2000 IU (50 mcg), Dietary Supplement for Bone, Teeth, Muscle and Immune Health Support, 90 Softgels, 90 Day Supply NM007…",4.6,S$108.54,1 Applicable Promotion,6.0,Nature Made,Nature Made,Nature Made Vitamin D3 2000 IU,,,,90.0 Count,Bone,,,,"['discrete subunit', 'softgel']",0.48963954822931693,0
(3 Pack) Synogut Pills Dietary Supplement for Gut Health(180 Capsules),3.7,S$214.70,1 Applicable Promotion,146.0,IDEAL PERFORMANCE,Ideal Performance,SynogutSynogut PillsSyno GutSynogut Dietary SupplementSynogut Capsules Reviews,,Adult,Unflavoured,,Gut Health Support,,,,['capsule'],0.408151275862017,0
"Solgar Skin, Nails & Hair, Advanced MSM Formula, 120 Tablets - Supports Collagen for Hair, Nail and Skin Health - Provides Zinc, Vitamin C & Copper - Non GMO, Vegan, Gluten & Dairy Free - 60 Servings",4.5,S$28.74,1 Applicable Promotion,5356.0,SOLGAR,,"NUTRIENT DELIVERY ASSISTANCE: Many nutrients cannot be delivered to the body externally. This specialized formula is designed to help support collagen in the body.Product Note: Exposure to heat or sunlight may lead to melting/damage of product. Hence customers are expected to be available during the product deliveryCOLLAGEN IMPORTANCE: Collagen is a major component of skin, hair and nails that potentially can decrease within the body as we continue to ageADDITIONAL NUTRIENTS: This formula also delivers nutrients like Vitamin C and Copper, which when delivered internally can help support hair, skin and nail health.KOSHER, GLUTEN FREE & SUITABLE FOR VEGANS: All tablets are KOF-K Kosher certified, non-GMO and certified gluten free. They are free of: gluten, wheat, dairy, yeast, sugar, and sodium. They are also free of artificial flavors, sweeteners, and preservatives.",Zinc,,Unflavoured,120 count,Stress Relief,Methylsulfonylmethane,,Gluten Free,['tablet'],0.755467605261045,1
"Designs for Health Fizzy Vitamin C Drink Powder - C+BioFizz, High Potency Vitamin C Powder with Bioflavonoids - Immune + Antioxidant Support Drink Mix Supplement (36 Servings / 144g)",4.7,S$62.26,1 Applicable Promotion,458.0,designs for health,,"UNIQUE BIOFLAVONOIDS - C + BioFizz contains three unique bioflavonoids quercetin, hesperidin, and rutin. They work in synergy with vitamin C to keep collagen (the body's intercellular ""cement"") in good condition.*NO ARTIFICIAL SWEETENERS - Great-tasting without fructose or any unfavorable sweeteners.*OVER 50,000 DOCTORS AGREE - Designs for Health is the physician's choice for top quality professional strength supplements since 1989. Our ""Science First"" philosophy ensures our products are based on the most recent research and use the highest quality raw ingredients.EFFERVESCENT ORANGE - This effervescent, orange-flavored powder easily provides targeted dosing of vitamin C and bioflavonoids. Potassium bicarbonate is included as a buffering agent and to give it fizz.*HIGHER STANDARDS. BETTER RESULTS - Designs for Health maintains a strict, no-compromises approach to quality raw material selection. We never cut corners with substandard ingredients. This product is Gluten-Free and is Vegetarian-friendly.",Vitamin C Mix Powder,Adult,Orange,,Immune Support,"Ingredients: Main - Vitamin C, Quercetin, Hesperidin, Rutin. See supplement facts for full list of ingredients.","Directions: As a dietary supplement take 4 grams (approx. one teaspoon) per day, or as directed by your healthcare practitioner.","Vegetarian, Gluten Free",['powder'],0.6959112843072857,0
HCP Formulas - Fibrenza - Systemic Enzyme Complex with Fibrinolytic & Proteolytic Enzymes - Fibrin Defense & Cardiovascular Support - Vegetarian - Dietary Supplement - 60 Caps,4.3,S$59.30,1 Applicable Promotion,229.0,HCP Formulas,,"FIBRENZA SUPPLEMENT: An advanced blend of 13 powerful systemic enzymes! HCP Formulas' Fibrenza is a natural systemic enzyme complex. Formulated with fibrinolytic & proteolytic enzymes, Fibrenza supports the body's ability to dissolve fibrin, and cleanse the body of impurities for maximum body-wide benefits in a reliable, time-released capsule.CARDIOVASCULAR SUPPORT: Aging lowers your body's ability to produce sufficient levels of enzymes, often leading to build-up of fibrin. Fibrenza harnesses potent systemic enzymes that break down proteins, toxins, and other cellular debris, such as Serrapeptase and Nattokinase—promoting powerful fibrin defense essential for a healthy cardiovascular system.ANTIOXIDANT: Not only are systemic enzymes powerful anti-fibrin agents, but they also possess profound antioxidant properties. The foundation of anti-aging and detoxification protocols, Superoxide Dismutase helps break down potentially harmful oxygen molecules in cells that can cause tissue damage for better overall well-being.SUPERIOR DELIVERY: Fibrenza utilizes a technologically advanced capsule without phthalates or chemicals. Unlike enteric coatings, AcidDefenz capsules use a non-GMO vegetable cellulose barrier to provide maximum protection against harsh stomach acids. They are time-released for more consistent enzyme absorption into the bloodstream every time.PREMIUM INGREDIENTS: HCP Formulas specializes in ultra-premium nutraceutical supplements to better support your health. We source only the highest-grade Non-GMO ingredients that are vegetarian and free of gluten, dairy, wheat, yeast, and shellfish. Fibrenza contains NO Magnesium Stearate, Phthalates, Talc, or artificial colors or flavors and is proudly manufactured in the USA in GMP registered facilities.",,Adult,Unflavoured,60 Count,Heart Health Support,,,"Keto, Vegetarian, Gluten Free",['capsule'],0.5705340884423887,0
Kidneys - 60 Tablets - Strengthens The Kidneys - 100% Natural Dietary Supplement,4.0,S$59.64,1 Applicable Promotion,2.0,Organic Farms Vitamins,,"Helps balancing fluid of the bodyHelps to increase red blood cells.Helps to Cleans, Nourishes & Strengthens your Body100% Natural",,Adult,Unflavoured,,Detoxing,,,,['tablet'],0.30982456035576383,0
"MegaFood, Balanced B Complex, Promotes Healthy Energy Levels, Multivitamin Dietary Supplement, Gluten Free, Vegan, 90 Tablets (90 Servings)",4.7,S$70.58,1 Applicable Promotion,1322.0,MegaFood,,"PROMOTES HEALTHY ENERGY LEVELS: A balanced ratio of B complex vitamins delivered with nourishing whole foods helps convert food into cellular energy and support nervous system healthGET-UP-AND-GO: Put a little pep in your step with nourishing real food like organic kale, broccoli and brown rice Assists in the conversion of food into energyTAKE ANY TIME OF DAY: Take 1 tablet any time of day, even on an empty stomach (though you may prefer to take it in the morning to start your day off right) Suitable for vegan and vegetarian dietsOBSESSED WITH QUALITY: Non-GMO Project Verified, tested for 125+ herbicides and pesticides, free of gluten, dairy, soy Certified B Corp Certified Glyphosate Residue Free Certified KosherMADE WITH REAL FOOD, AND REAL PURPOSE: Premium supplements made with real food and added nutrients We work with trusted farm partners who share our commitment to organic and regenerative agriculture",,Adult,,90.0 Count,,,,"Glyphosate Residue Free, GMO Free, Gluten Free;Gluten Free, Vegan, Plant Based",['tablet'],0.7420861108592589,0
"Phyto Phytophanere Dietary Supplement, 120 count",4.1,S$56.85,1 Applicable Promotion,68.0,Phyto,,"Grow healthier hair, strong nails and get a more radiant skin from the inside out.Building blocks to fuller, thicker & shinier hair Strengthens nails and supports glowing skin Rich with biotin plus essential B vitamins Boosts keratin production Only 2 caps a day - easy to swallowFormulated in our family-owned labs in France, you are only 2 caps away from the thicker, denser-looking mane you always wanted.This supplement is a lifesaver for weak thinning damaged hair and nails.",,,Unflavoured,120 count,,"Ingredients: Gelatin, Oily Carrot Macerat (Sunflower Oil, Carrot Extract, Rosemary Extract), Acerola Extract Enriched with Vitamins C, Firming: Glycerin, Borage Oil 20% GLA, Hydrogenated Soybean Oil, Fish Oil , Rice Bran Oil, DL-Alpha Tocopherol Acetate, Yeast, Wheat Germ Oil, Calcium Pantothenate, Emulsifier: Soy Lecithin, Gamma Oryzanol, Pyridoxine Hydrochloride, Riboflavin, Biotin-Dyes: E171, E172, Aroma Cereal, Gluten.","Directions: Take 2 capsules of Phytophanère Dietary Supplement Hair & Nails per day with a glass of water, preferably in the morning. For best results, use for four months. Not recommended during pregnancy or breastfeeding. Phytophanère makes your hair beautiful and gives it density, and it makes your nails more resistant.",,['capsule'],0.4703995767976007,0
"PlantFusion Complete C 1,000 Vegan Vitamin | Supports Immune Health + 500mg Antioxidant Protection Dietary Supplement Vegan, Kosher Certified | 90 Vegan Tablets",4.8,S$54.41,1 Applicable Promotion,18.0,PlantFusion,PlantFusion,"CRAFTED CLEAN: Vegan and Kosher certified Vitamin C is 100% plant based dietary supplement and is non-GMO, free of dairy, wheat, gluten, peanuts, soy, sugar, tree nuts, preservatives, artificial colors or flavor. Vegan Complete 1,000mg Vitamin C. 1-3 month supply. As a dietary supplement adults take one (1) tablet, one (1) to three (3) times daily with meals, or as directed by a health care professional. Store in a cool dry place away from direct light.BOOSTS IMMUNE SYSTEM: Protect yourself all year long with specially formulated vitamin C featuring rose hips and bioflavonoids.FIGHTS FREE RADICALS: Derived from lemons and oranges, citrus bioflavonoids provide powerful antioxidants to support your health by fighting free radicals.SUPPORTS COLLAGEN PRODUCTION: Vitamin C is essential for the synthesis and stability of collagen, which is vital for healthy joints, skin, hair and nails.MINDFUL MANUFACTURING: Feel good knowing that our supplements are manufactured in the Unites State of America in an environmentally responsible manufacturing facility. We obsess over sourcing special minerals and ingredients to make our supplements ideal to support your health.",,Adult,Citrus,,,,,"GMO Free, Gluten Free, Dairy Free, Soy Free;Vegan",['tablet'],0.580812905935729,0
"YUM-V'S Yum-V'S Multivitamin Chewable Jellies (Gummies) For Kids, Fruit Flavor (60 Ct); Dietary Supplement W/Vitamins & Minerals- Vitamin D 600 Iu, Vitamins B12, B6, E, C, A, Zinc, Kosher, Halal",4.6,S$24.66,1 Applicable Promotion,60.0,YUM-V'S,,"YUM-V's Multivitamin plus Multimineral Jellies for Kids, Fruit Flavor (60 count). Tooth-friendly pectin gummy-like jelly bears contain essential vitamins and minerals for children's nutrition and health.Dietary Supplement: Vitamins and minerals are an essential component in the growth and health of our children. YUM-V's gummy bears are an excellent way for kids to get their daily vitamin supplements in an easy and tasty manner. Each serving contains 15 vitamins and minerals including 600 IU of Vitamin D, Vitamins B12, B6, E, C, A and Zinc.Features: We believe in using high-quality, natural ingredients for all of our products, and maintain a nut-free production facility. Formula is vegetarian, non-GMO and gluten-free, gelatin free, with no artificial colors, flavors or preservatives. Kosher/Halal.Flavor: Mouthwatering and delicious fruit flavored jellies packed with nutritional value. Yum-Vs chewable jelly bears are an excellent way for kids to get their daily supplements in an easy and tasty manner.Recommended Use: Our top-rated yummy gummy-like jellies are the very best way to incorporate vitamins into our kids' diets. Designed for children or all ages, from toddler to teen. Give two of these treats to your kids every day to support their health in a fun and yummy way.",,Child,Fruit,60.0 Count,,,,"Vegetarian, Keto, Gluten Free","['chewables', 'gummy']",0.58407197534877,0
"Emergen-C Apple Cider Vinegar Vitamin C Fizzy Drink Mix, Dietary Supplement for Immune Support, Apple - 18 Count",4.6,S$26.77,1 Applicable Promotion,4846.0,Emergen-C,,"18 count package of Emergen-C Apple Cider Vinegar Vitamin C Fizzy Drink Mix, Dietary SupplementProvides daily immune support with vitamin C, zinc and manganese (1)Contains B vitamins to enhance energy naturally (1) and electrolytesImmune support (1) supplement infused with organic apple cider vinegarGluten free, caffeine free and vegetarian dietary supplements",Zinc,Adult,Apple,,Immune Support|Energy Management,Zinc & Vitamin C,,"Vegetarian, Gluten Free",['powder'],0.7749133548487118,1
"One A Day Men’s 50+ Multivitamins, Supplement with Vitamin A, Vitamin C, Vitamin D, Vitamin E and Zinc for Immune Health Support*, Calcium & more, 100 count",4.7,S$21.63,1 Applicable Promotion,14220.0,ONE A DAY,,"1 A Day Men's 50+ Healthy Advantage Multivitamin offers a wide variety of key nutrients in an easy to take, daily tabletHelps support healthy brain function with B vitamins*Formulated to support:* heart health, healthy blood pressure**, immune health, eye health, and physical energy by helping convert food to fuel*Men over the age of 50 should take one tablet daily with food.One A Day Men's 50+ Healthy Advantage Multivitamin are free of gluten, wheat, dairy, artificial flavors, and artificial sweeteners.During the summer months products may arrive warm but Amazon stores and ships products in accordance with manufacturers' recommendations, when provided.",Multivitamins,Adult,Unflavoured,100 count,"Eye Health;Heart Health,Eye Health,Brain,Immune,Energy","Ingredients: Calcium Carbonate, Magnesium Oxide, Microcrystalline Cellulose, Ascorbic Acid, Croscarmellose Sodium, Zinc Oxide, dl-Alpha-Tocopheryl Acetate; Less than 2% of: Beta-Carotene, Biotin, Cholecalciferol, Chromium Chloride, Cupric Oxide, Cyanocobalamin, D-Calcium Pantothenate, FD&C Blue #1 Lake, FD&C Blue #2 Lake, Folic Acid, Hydroxypropyl Methylcellulose, Lycopene, Manganese Sulfate, Niacinamide, Phytonadione, Polyethylene Glycol, Potassium Iodide, Pyridoxine Hydrochloride, Riboflavin, Silicon Dioxide, Sodium Molybdate, Sodium Selenite, Stearic Acid, Thiamine Mononitrate, Titanium Dioxide (color),Vitamin A Acetate.","Directions: One tablet daily, with food.","Keto, Gluten Free",['tablet'],0.845672056870618,1
Thorne Zinc Picolinate 30 mg - Well-Absorbed Zinc Supplement for Growth and Immune Function - 60 Capsules,4.7,S$31.00,1 Applicable Promotion,4450.0,THORNE,Thorne Research,"Zinc: 30 mg of an optimally absorbed form of zinc to support general wellness, immune function, healthy skin and connective tissue, and eye health*Immune Support: Zinc promotes the optimal functioning of the body’s immune response and promotes the activation of a type of white blood cell that helps moderate the body’s inflammatory response during times of immune stress*Skin and Eyes: Zinc promotes healthy skin and eyes*Optimal Absorption: Highly absorbable form of zincTrusted: Thorne is trusted by 45,000 health professionals and 100+ pro teams and U.S. Olympic teams. Thorne is the only supplement manufacturer to collaborate with Mayo Clinic on wellness research and content",Zinc,,,60.00 Count,,,,"Gluten Free, Dairy Free",['capsule'],0.7950052246884574,1
Thorne Zinc Picolinate 15mg - Highly Absorbable Zinc Supplement - 60 Capsules,4.7,S$22.00,1 Applicable Promotion,4198.0,THORNE,Thorne Research,"Zinc: 15 mg of an optimally absorbed form of zinc to support general wellness, immune function, healthy skin and connective tissue, and eye health*Immune Support: Zinc promotes the optimal functioning of the body’s immune response and promotes the activation of a type of white blood cell that helps moderate the body’s inflammatory response during times of immune stress*Skin and Eyes: Zinc promotes healthy skin and eyes*Optimal Absorption: Highly absorbable form of zincTrusted: Thorne is trusted by 45,000 health professionals and 100+ pro teams and U.S. Olympic teams. Thorne is the only supplement manufacturer to collaborate with Mayo Clinic on wellness research and content",Zinc,,,60.00 Count,,"Ingredients: One Capsule Contains: Zinc (as Zinc Picolinate) 15 mg. Other Ingredients: Microcrystalline Cellulose, Hypromellose (derived from cellulose) capsule, Leucine, Silicon Dioxide.",Directions: Take 1 capsule one to two times daily or as recommended by a health-care practitioner.,"Tree Nuts Free, Gluten Free, Dairy Free, Peanut Free, Yeast Free, Soy Free, Egg Free",['capsule'],0.792463035482216,1
ORZAX Elderberry Capsules - Immune Support Supplement with Elderberry Vitamin C and Zinc - Antioxidants Supplement for Women and Men (60 Vegetable Capsules),4.5,S$34.90,1 Applicable Promotion,85.0,ORZAX,ORZAX,"3 in 1 Immune Support: Harness the combined power of elderberry, vitamin C, and zinc for comprehensive immune system support.Antioxidant-Rich Elderberries: Elderberries are a natural source of anthocyanins with potent antioxidant properties, help to protect your body.Year-Round Wellness: Maintain a strong immune system year-round, bolstering your body's defenses against common health challenges.Immunity Enhancement: Support your immune system's to ward off threats and stay resilient in the face of daily stressors.Fight Free Radicals: ORZAX Elderberry supplement provides vital antioxidant support to combat free radicals and promote overall well-being.",,Adult,Unflavoured,60.00 Count,,,,,['capsule'],0.57524424066388,0
"ORZAX Sleep - Melatonin 5 mg, Vitamin B6 & 5-HTP Supplement - Restful Sleep Vitamins for Adults (120 Tablets)",4.3,S$26.90,1 Applicable Promotion,27.0,ORZAX,,"Natural Relaxation: Orzax Sleep combines 5 mg of melatonin, 50mg of 5-HTP , and 10 mg of vitamin B6 to supports relaxation, wake up refreshed and energized.Balanced Sleep-Wake Cycle: Orzax sleep supplement supports sleep-wake cycle and more consistent sleep pattern.For Melatonin: Vitamin B6 is a vitamin that supports your body's natural production of melatonin.Suitable for Adults: Orzax Melatonin 5 mg, Vitamin B6 & 5-HTP Supplement is forrmulated to meet the nutritional needs of women and men, making it an addition to your daily wellness routine.Easy-to-Swallow: ORZAX Melatonin 5 mg, Vitamin B6 & 5-HTP Supplement is easy to swallow and it allows you to take your vitamin supplement easily.",Vitamin B6,,Unflavoured,120.00 Count,,,,Halal,['tablet'],0.4786790300565147,0
"Garden of Life Whole Food Primal Defense Ultra Ultimate Probiotic Dietary Supplement Vegetarian Capsules for Digestive and Gut Health, 180 Count",4.6,S$95.14,1 Applicable Promotion,7724.0,Garden of Life,,"DIGESTION SUPPORT: Primal Defense 15 billion CFU probiotic supplement contains Lactobaccilus acidophilus, Bifidobacteria, and other strains to maximize the benefits of a healthy diet, boost nutrient absorption, relieve constipation and support digestive healthSOIL BASED PROBIOTICS: The only shelf stable probiotic powder formula containing a unique whole food blend with Homeostatic Soil Organisms (HSO)IMMUNE SUPPORT: This dietary supplement has 15 billion CFU and 13 hardy beneficial strains for immune system healthCOLON HEALTH SUPPORT: These probiotics for constipation promote regular, healthy and comfortable bowel movementsVEGETARIAN PROBIOTIC: Whole food, gluten free, vegetarian probiotics supplement for a balanced, health internal environment",Probiotic,,Unflavoured,180 Count,Digestive Health Support,"Ingredients: HSO Probiotic Blend: Saccharomyces boulardii, Organic Barley Grass, Organic Oat Grass, Lactobacillus plantarum, Bacillus subtilis, Bifidobacterium lactis, Bifidobacterium bifidum, Lactobacillus rhamnosus, Bifidobacterium breve, Lactobacillus casei, Lactobacillus salivarius, Lactobacillus acidophilus, Lactobacillus brevis, Bifidobacterium longum, Lactobacillus paracasei; Ionic Plant Based Minerals. Other ingredients: Vegetable cellulose (capsule), organic rice (hull). Probiotics are cultured in dairy, which is generally consumed during the fermentation process. Contains no artificial colors or preservatives.;HSO Probiotic Blend: Saccharomyces boulardii",Directions: Adults begin with 1 capsule per day with 8oz. Of water and gradually increase to 1 capsule 3 times per day. Best taken on an empty stomach. Not intended for children.,Vegetarian,['capsule'],0.7952440098968434,1
"Ocuvite Eye Vitamin & Mineral Supplement, Contains Zinc, Vitamins C, D, E, Omega 3, Lutein & Zeaxanthin, 50 Count",4.6,S$30.38,1 Applicable Promotion,3004.0,Ocuvite,,"EYE PERFORMANCE SUPPLEMENT: Ocuvite Eye Performance formula is a daily dietary supplement made with 7 vital nutrients. Formulated to help support the eye's natural filter, which helps shields eyes from blue light.PROTECT & NOURISH: Formulated with Lutein, Zinc, Omega 3s, & Vitamins C, E, & D to help nourish the eye's natural filter & offer support for modern eye stressors such as blue light & tech-related eye strain.EYE HEALTH VITAMINS: Eating better & cutting down on screen time is not just good for you—it’s healthy for your eyes, too. Supplement your eye health with Bausch + Lomb eye health dietary supplements.EYE CARE EXPERTS: For over 150 years, Bausch + Lomb has focused on innovation & quality in our eye care products, from contact lenses & solutions to eye drops, ointments, eye vitamins & more.EYE DROPS & MORE: Bausch + Lomb makes over the counter (OTC) eye care products you can trust, from contact lens solution to eye drops, vitamins, & ointments.",Zinc,Adult,,50 count,Eye Health Support,,,Plant Based,['softgel'],0.7540601275962759,0
"NOW Foods Supplements, Vitamin D-3 2,000 IU, High Potency, Structural Support, 240 Softgels",4.8,S$17.29,1 Applicable Promotion,19251.0,Now Foods,,"Now Foods , Vitamin D-3, 2,000 IU : 240 SoftgelsNow Foods",Vitamin D3,Adult,Unflavoured,240 Count,Bone Health Support;Immune Support,"Ingredients: Supplement Facts Serving Size: 1 Softgel Servings Per Container: 240 Description Amount per Serving % Daily Value * Percent Daily Values are based on 2,000 calorie diet.† Daily Value not established. Vitamin D3(as Cholecalciferol) (from Lanolin) 2,000 IU 500% Other Ingredients: Organic Extra Virgin Olive Oil and Softgel Capsule (gelatin, water, glycerin). Not manufactured with yeast, wheat, gluten, soy, milk, egg, fish or shellfish ingredients. Produced ina GMP facility that processes other ingredients containing these allergens. Caution: For adults only. Consult physician if pregnant/nursing, taking medication, or have a medical condition. Keep out of reach of children. Natural color variation may our in this product. Store in a cool, dry place after opening. Please Recycle. Family owned since 1968. *These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure or prevent any disease.","Directions: Take 1 softgel daily with a meal. Store in a cool, dry place after opening.",Kosher,['softgel'],0.8826934092528058,1
Life Extension Two-Per-Day Multivitamin – A Healthy Daily Dose of Vitamins & Minerals – Gluten-Free – Non-GMO – 60 Tablets,4.6,Page 1 of 1,,2958.0,Life Extension,,"MEETS & EXCEEDS RECOMMENDED DAILY ALLOWANCE - Our Two-Per-Day Multivitamin meets or exceeds the Recommended Dietary Allowance (RDA) for nearly every ingredient where an RDA exists. In order to support optimal health and well-being, you need a science-based dose of vitamins and minerals every day. Nourish your body with essential vitamins, minerals and other nutrients.SUPPORT IMMUNE HEALTH WITH VITAMINS C & D - Vitamin C is associated with immune system health, which may be due to its ability to scavenge free radicals and protect against oxidative stress, as well as its stimulation of the production and function of white blood cells. Vitamin D supports immune system health, bone health and more.GET THE MOST FROM YOUR MULTIVITAMIN – A multivitamin is a must! There's no simpler way to ensure your body is getting the essential vitamins, minerals and nutrients you need to support your health. But not all multivitamins are created equal—so choose our best: Life Extension Two-Per-Day Multivitamin.INGREDIENTS MATTER - Sourced using only the finest raw ingredients with the purity and potency your body deserves. This product is certified non-GMO and gluten-free. Manufactured in the USA and a Certificate of Analysis is available for every product we produce.LIVE YOUR HEALTHIEST LIFE - For over 40 years, we’ve been developing advanced, effective formulas made with the highest standards and based on the latest scientific findings. We believe the answers to a healthier, richer life are within reach and that rigorous scientific research is the path to get us there. Or formulations are created using the exact ingredients and dosages used in the studies that inspired them, ensuring that maximum bioavailability and efficacy is achieved.","Vitamin C, Zinc",,Unflavoured,60 count,"Supports cellular health, blood vessel health, healthy immune function & more","Vitamin D3, Riboflavin, Biotin, Vitamin B12, Niacin, Folate, Vitamin A, Vitamin E, Vitamin C, Magnesium, Thiamine, Vitamin B6, Pantothenic acid, Iodine",,"Keto, Gluten Free",['tablet'],0.7533872604326352,0
"Designs for Health Annatto-E 300 - Groundbreaking Vitamin E Supplement with Delta + Gamma Tocotrienols - Cardiovascular + Antioxidant Support - Non-GMO, No Soy (60 Softgels)",4.6,S$129.73,1 Applicable Promotion,368.0,designs for health,,"GROUNDBREAKING VITAMIN E - Supplements claiming to contain ""vitamin E"" are often only alpha-tocopherol. While alpha-tocopherol has beneficial effects of its own, it has been shown to interfere with the positive effects of tocotrienols, and it also inhibits absorption of tocotrienols.WHY SWITCH TO TOCOTRIENOLS? Tocopherol has antioxidant effects, but tocotrienol may be up to 40-60x more potent at protecting against cellular damage from harmful free radicals.A SINGLE, SUPERIOR SOURCE - The richest known source of naturally occurring tocotrienols is annatto, a tree native to Latin America. Delta-tocotrienol sourced from the annatto plant (Bixa orellana) have shown impressive effects in supporting overall health.*HIGHER STANDARDS. BETTER RESULTS - Designs for Health maintains a strict, no-compromises approach to quality raw material selection. We never cut corners with substandard ingredients. This product is Non-GMO and does not contain gluten, dairy or soy.",Vitamin E Isomer Softgels,Adult,Unflavoured,60.0 Count,"Supports Cardiovascular, Lung, Skin, Bone & Eye Health;Cardiovascular","Ingredients: Main - Vitamin E Isomers, Bovine Gelatin. See supplement facts for full list of ingredients.","Directions: As a dietary supplement, take one softgel per day, or as directed by your health care practitioner.",Gluten Free,['capsule'],0.6625818716318077,0
"Men's Multivitamin Capsules - Performance Enhancer & Energizer NonGMO Advanced Daily Dietary Supplement - Vitamins, Minerals, Antioxidants & Herbs - 60 Capsules",4.0,S$34.19,1 Applicable Promotion,15.0,Bondi Morning,,"THE PERFECT NUTRITION FOR THE UNIQUE NEEDS OF MEN! - Designed and formulated to provide you with all the vitamins, minerals, antioxidants, and herbs your body needs.THE ULTRA STRONG MULTIVITAMIN FORMULA YOU DESERVE! - One of the most complete multivitamin daily dietary supplements available, the Bondi Morning Men's Multivitamin capsules contains vitamins A, C, D, E, B1, B2, B3, B5, B6, B12, as well as folic acid, biotin, calcium, magnesium zinc, selenium, copper, manganese, molybdenum, and a load of other all-natural nutrients.GIVE YOUR PERFORMANCE & ENERGY LEVELS A MASSIVE BOOST! - The multivitamin's powerful antioxidant herbal, fruit and energy blend will act as a potent energizer and performance enhancer, boosting you vitality and energy levels, and providing you with enhanced stamina. Moreover, the capsules' formula is tailored to provide you with immune and prostate support.NON-GMO, NO FILLERS, NO ADDITIVES, NO BINDERS! - When it comes to our Bondi Morning men's daily multivitamin dietary supplements, we make a point of using exclusively safe and natural non-GMO ingredients, without any additives, fillers, or binders. All of our supplements are produced under strict guidelines in certified laboratories here in the USA, and are subjected to constant, thorough quality control.ORDER NOW, WITH OUR 100% SATISFACTION GUARANTEE! - Afford yourself the uniquely energizing benefits of the Bondi Moring Men's Multivitamin without worry: if the results were not what you were hoping for, just contact us and benefit from our no questions-asked full refund policy. After all, there's nothing more important to us than your wellbeing and satisfaction!",Multivitamins,,Unflavoured,1.0 Ounce,Antioxidants,"Ingredients: Our Men's Multivitamin Capsules include 2000IU Vitamin A, 150mg VitaminC, 400IU Vitamin D, 30IU Vitamin E, 7mg Vitamin B1, 7.5 mg Vitamin B2, 30mg Vitamin B3, 7.5mg Vitamin B6, 400mcg Folic Acid, 27mcg Vitamin B12, 300 mcg Biotin, 10mg Vitamin B5, 50mg Calcium, 50mg Magnesium, 15mg Zinc Oxide 80%, 30mcg Selenium, 2mg Copper, 2mg Manganese, 120mcg Chromium, 75mcg Molybdenum, 170mg Male Support, 110mg Immune Blend, 187mg Antioxidant Fruit & Energy Blend per serving.;Proprietary Blend",Directions: Take 2 capsules in the morning with your meal.,Vegan,['capsule'],0.38284086841630005,0
"Adult Multivitamin Gummies with Vitamin C, D3 and Zinc for Immune Health Support - Natural Complete Daily Gummy Vitamin Supplement - Vegetarian Multi Vitamins for Men and Women - 120 Gummies",4.6,S$103.54,1 Applicable Promotion,221.0,Nature's Nutrition,,"Daily Wellness: Our Nature's Nutrition Multivitamin Gummies provide the perfect mix of vitamins and minerals to support your overall wellnessImmune Support: Packed with both Vitamin E and C, ready to give you natural immune support for both men and womenHair Skin and Nails: Both biotin and folic acid are powerful nutrients that support strong and beautiful hair, skin and nailsDelicious and Convenient: Each serving is 2 convenient delicious raspberry flavor gummies ready to go with you anywhereThird Party Certified: Every batch of Nature's Nutrition Multivitamin Gummies are third party certified for quality by an experienced dietary supplement lab",,Adult,Raspberry,120.0 Count,Immune Support,"Ingredients: Vitamin A (as Retinyl Acetate), Vitamin C (as Ascorbic Acid), Vitamin D3 (as Cholecalciferol), Vitamin E (as DL-Alpha-Tocopheryl Acetate), Vitamin B6 (as Pyridoxine Hydrochloride), Folate, Vitamin B12 (as Cyanocobalamin), D-Biotin, Pantothenic Acid (as D-Calcium Pantothenate, lodine (as Potassium lodide), Zinc (as Zinc Citrate), Chromium (Chromium-Enriched Yeast) Other Ingredients: Glucose Syrup, Sugar, Glucose, Pectin, Citric Acid, Sodium Citrate, Natural Raspberry Flavor, Vegetable Oil (contains Carnauba Wax), Purple Carrot Juice Concentrate.","Directions: As a dietary supplement, take two (2) gummies once a day. Chew gummies thoroughly before swallowing",Vegetarian,['gummy'],0.6404184816139394,0
